id,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10
29260,6.894,10.599,0.96,0.318,0.4,-0.067,172.664,12506.95,195.712,0
29261,6.894,10.599,0.96,0.318,0.4,-0.067,172.664,12506.95,195.712,0
29262,6.892,10.593,0.961,0.315,0.4,-0.076,172.52,12549.288,195.056,0
29263,6.892,10.593,0.961,0.315,0.4,-0.076,172.52,12549.288,195.056,0
29264,6.892,10.593,0.961,0.315,0.4,-0.076,172.52,12549.288,195.056,0
29265,6.886,10.597,0.96,0.314,0.4,-0.074,170.21,12652.369,194.283,0
29266,6.886,10.597,0.96,0.314,0.4,-0.074,170.21,12652.369,194.283,0
29267,6.886,10.597,0.96,0.314,0.4,-0.074,170.21,12652.369,194.283,0
29268,6.862,10.591,0.96,0.323,0.395,-0.08,171.26,12728.472,194.171,0
29269,6.862,10.591,0.96,0.323,0.395,-0.08,171.26,12728.472,194.171,0
29270,6.862,10.591,0.96,0.323,0.395,-0.08,171.26,12728.472,194.171,0
29271,6.847,10.602,0.96,0.315,0.39,-0.075,171.054,12751.957,194.11,0
29272,6.847,10.602,0.96,0.315,0.39,-0.075,171.054,12751.957,194.11,0
29273,6.847,10.602,0.96,0.315,0.39,-0.075,171.054,12751.957,194.11,0
29274,6.824,10.609,0.954,0.328,0.39,-0.073,172.52,12775.442,193.014,0
29275,6.824,10.609,0.954,0.328,0.39,-0.073,172.52,12775.442,193.014,0
29276,6.824,10.609,0.954,0.328,0.39,-0.073,172.52,12775.442,193.014,0
29277,6.799,10.619,0.952,0.334,0.39,-0.083,167.833,12781.414,192.529,0
29278,6.799,10.619,0.952,0.334,0.39,-0.083,167.833,12781.414,192.529,0
29279,6.799,10.619,0.952,0.334,0.39,-0.083,167.833,12781.414,192.529,0
29280,6.775,10.63,0.95,0.332,0.39,-0.079,170.965,12829.602,192.357,0
29281,6.775,10.63,0.95,0.332,0.39,-0.079,170.965,12829.602,192.357,0
29282,6.775,10.63,0.95,0.332,0.39,-0.079,170.965,12829.602,192.357,0
29283,6.753,10.642,0.941,0.336,0.39,-0.082,168.757,12807.218,192.505,0
29284,6.753,10.642,0.941,0.336,0.39,-0.082,168.757,12807.218,192.505,0
29285,6.753,10.642,0.941,0.336,0.39,-0.082,168.757,12807.218,192.505,0
29286,6.732,10.652,0.94,0.338,0.39,-0.079,170.466,12778.176,192.286,0
29287,6.732,10.652,0.94,0.338,0.39,-0.079,170.466,12778.176,192.286,0
29288,6.732,10.652,0.94,0.338,0.39,-0.079,170.466,12778.176,192.286,0
29289,6.719,10.668,0.93,0.342,0.39,-0.082,166.601,12750.508,192.113,0
29290,6.719,10.668,0.93,0.342,0.39,-0.082,166.601,12750.508,192.113,0
29291,6.719,10.668,0.93,0.342,0.39,-0.082,166.601,12750.508,192.113,0
